index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by
84731,408-5339485-9931554,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,428.0,PIMPRI CHINCHWAD,MAHARASHTRA,411033.0,IN,False,Easy Ship
84732,404-8601343-4638711,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,376.0,BENGALURU,KARNATAKA,560100.0,IN,False,Not Specified
84733,408-0466936-6451527,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,0.0,CHENNAI,TAMIL NADU,600042.0,IN,False,Easy Ship
84734,403-9272373-1217161,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Blazzer,M,Shipped,1,INR,807.0,Ichapur,WEST BENGAL,743144.0,IN,False,Not Specified
84735,403-4389286-9870733,2022-04-05,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,475.24,CHENNAI,TAMIL NADU,600037.0,IN,False,Easy Ship
84736,403-4389286-9870733,2022-04-05,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,508.57,CHENNAI,TAMIL NADU,600037.0,IN,False,Easy Ship
84737,403-4389286-9870733,2022-04-05,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,1075.89,CHENNAI,TAMIL NADU,600037.0,IN,False,Easy Ship
84738,408-5079098-9035527,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,376.0,VIRUDHACHALAM,TAMIL NADU,606001.0,IN,False,Not Specified
84739,171-3246073-0622704,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,1432.0,ALLAHABAD,UTTAR PRADESH,211004.0,IN,False,Easy Ship
84740,171-5425366-3509113,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,597.0,MIRZAPUR CUM VINDHYACHAL,UTTAR PRADESH,231001.0,IN,False,Not Specified
84741,403-0477327-2524326,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Trousers,S,Shipped,1,INR,487.0,Nashik,MAHARASHTRA,422003.0,IN,False,Not Specified
84742,405-0838493-9413119,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,547.0,NIPANI,KARNATAKA,591237.0,IN,False,Easy Ship
84743,405-3178608-3224351,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,759.0,BENGALURU,KARNATAKA,560043.0,IN,False,Not Specified
84744,402-6738229-0919530,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shoes,Free,Shipped,1,INR,819.0,KOLKATA,WEST BENGAL,700052.0,IN,False,Not Specified
84745,402-5590977-6355547,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shoes,Free,Shipped,1,INR,899.0,KOLKATA,WEST BENGAL,700052.0,IN,False,Not Specified
84746,402-5590977-6355547,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shoes,Free,Shipped,1,INR,790.0,KOLKATA,WEST BENGAL,700052.0,IN,False,Not Specified
